date,sales_thousand_sar,year,month,month_name,quarter
2015-01-01,14226961.191,2015,1,January,1
2015-02-01,15352750.688,2015,2,February,1
2015-03-01,15401083.041,2015,3,March,1
2015-04-01,13566169.767,2015,4,April,2
2015-05-01,15145620.361,2015,5,May,2
2015-06-01,16063976.285,2015,6,June,2
2015-07-01,14467041.476,2015,7,July,3
2015-08-01,14671878.822,2015,8,August,3
2015-09-01,12548198.345,2015,9,September,3
2015-10-01,12542228.425,2015,10,October,4
2015-11-01,13961136.007,2015,11,November,4
2015-12-01,14888408.347,2015,12,December,4
2016-01-01,14709223.892,2016,1,January,1
2016-02-01,13478708.063,2016,2,February,1
2016-03-01,15364729.433,2016,3,March,1
2016-04-01,14783145.023,2016,4,April,2
2016-05-01,17722748.526,2016,5,May,2
2016-06-01,18212899.301,2016,6,June,2
2016-07-01,13568342.173,2016,7,July,3
2016-08-01,15324002.258,2016,8,August,3
2016-09-01,14210119.878,2016,9,September,3
2016-10-01,14299630.845,2016,10,October,4
2016-11-01,15294632.598,2016,11,November,4
2016-12-01,15780496.519,2016,12,December,4
2017-01-01,15754351.635,2017,1,January,1
2017-02-01,14159895.255,2017,2,February,1
2017-03-01,16312754.394,2017,3,March,1
2017-04-01,16471483.576,2017,4,April,2
2017-05-01,18857800.189,2017,5,May,2
2017-06-01,18075795.768,2017,6,June,2
2017-07-01,15304211.36,2017,7,July,3
2017-08-01,16909260.353,2017,8,August,3
2017-09-01,15122606.907,2017,9,September,3
2017-10-01,16446967.667,2017,10,October,4
2017-11-01,16835678.0,2017,11,November,4
2017-12-01,20217022.0,2017,12,December,4
2018-01-01,16437259.0,2018,1,January,1
2018-02-01,15385632.0,2018,2,February,1
2018-03-01,19538417.0,2018,3,March,1
2018-04-01,19399555.0,2018,4,April,2
2018-05-01,23059987.0,2018,5,May,2
2018-06-01,19302456.0,2018,6,June,2
2018-07-01,19180375.8,2018,7,July,3
2018-08-01,19198793.9,2018,8,August,3
2018-09-01,19309486.6,2018,9,September,3
2018-10-01,19297195.2,2018,10,October,4
2018-11-01,19869043.9,2018,11,November,4
2018-12-01,22327623.6,2018,12,December,4
2019-01-01,21381143.87,2019,1,January,1
2019-02-01,19235192.092,2019,2,February,1
2019-03-01,23431926.271,2019,3,March,1
2019-04-01,24128728.067,2019,4,April,2
2019-05-01,27819738.425,2019,5,May,2
2019-06-01,20760253.0182279,2019,6,June,2
2019-07-01,23537532.8470805,2019,7,July,3
2019-08-01,23758511.7216126,2019,8,August,3
2019-09-01,24842705.4997637,2019,9,September,3
2019-10-01,25117701.025,2019,10,October,4
2019-11-01,25848842.168,2019,11,November,4
2019-12-01,27931981.25,2019,12,December,4
2020-01-01,28531600.2566464,2020,1,January,1
2020-02-01,25932325.38575,2020,2,February,1
2020-03-01,24792558.97603,2020,3,March,1
2020-04-01,16177319.16343,2020,4,April,2
2020-05-01,23451812.68346,2020,5,May,2
2020-06-01,37016394.9057037,2020,6,June,2
2020-07-01,31512580.00372,2020,7,July,3
2020-08-01,31147101.29,2020,8,August,3
2020-09-01,33214672.62,2020,9,September,3
2020-10-01,33637906.569,2020,10,October,4
2020-11-01,34263994.192,2020,11,November,4
2020-12-01,37619700.441,2020,12,December,4
2021-01-01,37274404.5765424,2021,1,January,1
2021-02-01,31051354.4345456,2021,2,February,1
2021-03-01,40839506.8250921,2021,3,March,1
2021-04-01,39172987.077,2021,4,April,2
2021-05-01,40270914.1082581,2021,5,May,2
2021-06-01,38704370.3552553,2021,6,June,2
2021-07-01,38853243.9979692,2021,7,July,3
2021-08-01,40972616.8566571,2021,8,August,3
2021-09-01,39995756.668,2021,9,September,3
2021-10-01,40466970.1540478,2021,10,October,4
2021-11-01,41282904.1314327,2021,11,November,4
2021-12-01,44373136.3948383,2021,12,December,4
2022-01-01,43558930.6504967,2022,1,January,1
